link,title,content,category,level,period,student,skill_covered,pre_ready
https://www.udacity.com/course/secure-and-private-ai--ud185,Secure and Private AI,Learn how to extend PyTorch with the tools necessary to train AI models that preserve user privacy.,SCHOOL OF ARTIFICIAL INTELLIGENCE,Advanced,2 Months,142 Reviews,None,None
https://www.udacity.com/course/cyber-physical-systems-design-analysis--ud9876,Cyber-Physical Systems Design & Analysis,This course provides an introduction to cyber-physical systems with an industrial perspective.,SCHOOL OF AUTONOMOUS SYSTEMS,Advanced,16 Weeks,229 Reviews,None,None
https://www.udacity.com/course/flying-car-nanodegree--nd787,Flying Car and Autonomous Flight Engineer,"Master job-ready autonomous flight software engineering skills as you tackle advanced challenges, write real code for real aircraft, and develop a systems understanding of the Flying Car full-stack.",SCHOOL OF AUTONOMOUS SYSTEMS,Advanced,6 Months,235 Reviews,"3D Motion Planning, Controls, Estimation, Kalman Filters",Mathematics & Programming
https://www.udacity.com/course/robotics-software-engineer--nd209,Robotics Software Engineer,"Build five hands-on projects to acquire core robotics software engineering skills: ROS, Gazebo, Localization, Mapping, SLAM, Navigation, and Path Planning.",SCHOOL OF AUTONOMOUS SYSTEMS,Advanced,4 Months,513 Reviews,"C++, ROS, Localization, Mapping, SLAM, Navigation, Path Planning, Robot Operating System, Robotics",Mathematics & Programming
https://www.udacity.com/course/self-driving-car-engineer-nanodegree--nd0013,Self Driving Car Engineer,"In this program, you will learn the techniques that power self-driving cars across the full stack of a vehicle’s autonomous capabilities. Using Deep Learning with radar and lidar sensor fusion, you will train the vehicle to detect and identify its surroundings to inform navigation.",SCHOOL OF AUTONOMOUS SYSTEMS,Advanced,5 Months,612 Reviews,"Computer Vision, Deep Learning, Sensor Fusion, Localization, Self-Driving Cars, Path Planning and Control","Python, C++, Linear Algebra and Calculus"
https://www.udacity.com/course/sensor-fusion-engineer-nanodegree--nd313,Sensor Fusion Engineer,"Learn to fuse lidar point clouds, radar signatures, and camera images using Kalman Filters to perceive the environment and detect and track vehicles and pedestrians over time.",SCHOOL OF AUTONOMOUS SYSTEMS,Advanced,4 Months,264 Reviews,"Perception, Lidar, Radar, Sensors, Computer Vision","Intermediate C++, Calculus, and Probability"
https://www.udacity.com/course/aws-cloud-architect-nanodegree--nd063,AWS Cloud Architect,"Lead your organization's cloud computing strategy as an AWS Cloud Architect. Plan, design, and build secure, high availability cloud infrastructure.",SCHOOL OF CLOUD COMPUTING,Advanced,3 Months,187 Reviews,"Cloud Infrastructure, Cloud Security, AWS, CloudFormation, High Availability Infrastructure, Serverless Computing","Experience with Cloud Computing, Programming, and AWS"
https://www.udacity.com/course/ethical-hacker-nanodegree--nd350,Ethical Hacker,"Master the skills necessary to become a successful Ethical Hacker. Learn how to find and exploit vulnerabilities and weaknesses in various systems, design and execute a penetration testing plan, and report on test findings using valid evidence.",SCHOOL OF CYBERSECURITY,Advanced,2 Months,12 Reviews,"Vulnerability Management, Penetration Testing, Reconnaissance, Social Engineering, Open-source intelligence, System and Application Auditing","Linux, Networking, Programming and Window OS"
https://www.udacity.com/course/data-architect-nanodegree--nd038,Data Architect,"Learn how to plan, design and implement enterprise data infrastructure solutions and create the blueprints for your organization’s data success.",SCHOOL OF DATA SCIENCE,Advanced,4 Months,63 Reviews,"Entity relationship diagrams, Relational Data Design, Online Analytical Processing, Operational Data Stores, Data Lake Architecture, Data Governance","Intermediate Python, SQL, and Basics of ETL/Data Pipelines"
https://www.udacity.com/course/data-scientist-nanodegree--nd025,Data Scientist,"Build effective machine learning models, run data pipelines, build recommendation systems, and deploy solutions to the cloud with industry-aligned projects.",SCHOOL OF DATA SCIENCE,Advanced,4 Months,986 Reviews,"Machine Learning, Deep Learning, Software Engineering","Python, SQL & Statistics"
https://www.udacity.com/course/data-streaming-nanodegree--nd029,Data Streaming,Learn how to stream data to unlock key insights in real-time.,SCHOOL OF DATA SCIENCE,Advanced,2 Months,197 Reviews,"Data Streaming, Spark, Kafka, Kafka Streaming, Spark Streaming","Intermediate Python, SQL, and experience with ETL"
https://www.udacity.com/course/ai-programming-python-nanodegree--nd089,AI Programming with Python,"Learn Python, NumPy, Pandas, Matplotlib, PyTorch, Calculus, and Linear Algebra—the foundations for building your own neural network.",SCHOOL OF ARTIFICIAL INTELLIGENCE,Beginner,3 Months,999 Reviews,"Python, NumPy, Pandas, Matplotlib, PyTorch",Basic Algebra and Programming Knowledge
https://www.udacity.com/course/eigenvectors-and-eigenvalues--ud104,Eigenvectors and Eigenvalues,Learn how to calculate eigenvalues and eigenvectors and why they are important for AI applications.,SCHOOL OF ARTIFICIAL INTELLIGENCE,Beginner,1 Week,120 Reviews,"Linear Algebra, Eigenvectors, Eigenvalues",None
https://www.udacity.com/course/intro-to-descriptive-statistics--ud827,Intro to Descriptive Statistics,Intro to Descriptive Statistics will teach you the basic concepts of statistics that can be used to extract information from data.,SCHOOL OF ARTIFICIAL INTELLIGENCE,Beginner,2 Months,142 Reviews,"Descriptive Statistics, Estimation, Central Limit Theorem",None
https://www.udacity.com/course/self-driving-car-fundamentals-featuring-apollo--ud0419,Self-Driving Fundamentals: Featuring Apollo,"Identify key parts of self-driving cars, utilize Apollo HD Map, localization, perception, prediction, planning and control, and start the learning path of building a self-driving car.",SCHOOL OF AUTONOMOUS SYSTEMS,Beginner,4 Weeks,878 Reviews,"Apollo HD Map, Localization, Perception, Prediction, Planning, Control",None
https://www.udacity.com/course/business-analytics-nanodegree--nd098,Business Analytics,"Gain foundational data skills applicable to any industry. Collect and analyze data, model business scenarios, and communicate your findings with SQL, Excel, and Tableau.",SCHOOL OF BUSINESS,Beginner,3 Months,1540 Reviews,"Excel & Spreadsheets, SQL, Data Visualization, Data Dashboards",None
https://www.udacity.com/course/creating-an-analytical-dataset--ud977,Creating an Analytical Dataset,Learn how to prepare data to ensure the efficacy of your analysis while improving fluency in Alteryx.,SCHOOL OF BUSINESS,Beginner,2 Weeks,890 Reviews,"Data Issues, Data Formatting, Data Blending",None
https://www.udacity.com/course/digital-marketing-nanodegree--nd018,Digital Marketing,Gain real-world experience running live campaigns as you learn from top experts in the field. Launch your career with a 360-degree understanding of digital marketing.,SCHOOL OF BUSINESS,Beginner,3 Months,2079 Reviews,"Digital Marketing, Social Media Marketing, Facebook Marketing, Search Engine Optimization, Search Engine Marketing, Display Ads, Search Ads",No Experience Required.
https://www.udacity.com/course/managing-remote-teams-with-upwork--ud942,Managing Remote Teams with Upwork,Bring your remote-teams to the next level with hands-on skills to manage your remote workforce effectively.,SCHOOL OF BUSINESS,Beginner,1 Hour,142 Reviews,"Team Management, Workforce Training, Business Strategy, Agile Management, Remote Work",None
https://www.udacity.com/course/marketing-analytics-nanodegree--nd028,Marketing Analytics,"Gain foundational data skills applicable to marketing. Collect and analyze data, model marketing scenarios, and communicate your findings with Excel, Tableau, Google Analytics, and Data Studios.",SCHOOL OF BUSINESS,Beginner,3 Months,316 Reviews,"Google Analytics, Excel & Spreadsheets, Data Visualization, Customer Segmentation",No Prerequisites
https://www.udacity.com/course/predictive-analytics-for-business-nanodegree--nd008t,Predictive Analytics For Business,"Predictive analytics is the practice of determining patterns from data to predict future outcomes and trends. Across industries, it enables high-value solutions to important business problems.",SCHOOL OF BUSINESS,Beginner,160 Hours,463 Reviews,"Data Wrangling, Classification, A/B Testing, Forecasting, Segmentation","Algebra, Descriptive Statistics, and Excel"
https://www.udacity.com/course/problem-solving-with-advanced-analytics--ud976,Problem Solving with Advanced Analytics,"Learn a scientific approach to solving problems with data, a foundational skill for anyone interested in making data driven decisions in a business context.",SCHOOL OF BUSINESS,Beginner,2 Weeks,786 Reviews,Linear Regression,None
https://www.udacity.com/course/intro-to-cloud-computing--ud080,Intro to Cloud Computing,"This free course will equip you with the foundational skills you need to pursue a career in cloud computing. The course covers fundamental cloud computing principles and features hands-on practice using AWS, the leading cloud service provider.",SCHOOL OF CLOUD COMPUTING,Beginner,2 Months,675 Reviews,"Cloud Computing, AWS Console, Compute Services, Serverless Architecture, Cloud Databases",None
https://www.udacity.com/course/intro-to-cybersecurity-nanodegree--nd545,Introduction to Cybersecurity,"Get your start in the high growth field of cybersecurity by building foundational skills in how to evaluate, maintain and monitor the security of computer systems.",SCHOOL OF CYBERSECURITY,Beginner,4 Months,81 Reviews,"Threat Assessment, Security Vulnerabilities, Compliance, Governance, Risk, Incident Response",Basic knowledge of network connectivity and OS fundamentals
https://www.udacity.com/course/data-analysis-and-visualization-with-power-BI-nanodegree--nd331,Data Analysis and Visualization with Power BI,"You’ll master the in-demand skills necessary to become a successful data analyst like data pre-processing, visualization and analysis using Power BI as the primary tool.",SCHOOL OF DATA SCIENCE,Beginner,3 Months,847 Reviews,"Power BI, data visulations, data modeling, Extract-Transform-Load, Data Analytics Expressions",Microsoft Excel
https://www.udacity.com/course/data-visualization-nanodegree--nd197,Data Visualization,"Combine data, visuals, and narrative to tell impactful stories and make data-driven decisions.",SCHOOL OF DATA SCIENCE,Beginner,4 Months,185 Reviews,"Data Visualization, Tableau, Dashboards, Data Storytelling",Basic Data Analysis
https://www.udacity.com/course/intro-to-data-analysis--ud170,Intro to Data Analysis,"Explore a variety of datasets, posing and answering your own questions about each. You'll be using the Python libraries NumPy, Pandas, and Matplotlib.",SCHOOL OF DATA SCIENCE,Beginner,6 Weeks,3 Reviews,"Data Analysis, Python, numpy, pandas",None
https://www.udacity.com/course/intro-to-inferential-statistics--ud201,Intro to Inferential Statistics,Intro to Inferential Statistics will teach you how to test your hypotheses and begin to make predictions based on statistical results drawn from data!,SCHOOL OF DATA SCIENCE,Beginner,2 Months,4 Reviews,"Inferential Statistics, Hypothesis Testing, T-tests, ANOVA",None
https://www.udacity.com/course/programming-for-data-science-nanodegree--nd104,Programming for Data Science with Python,"Learn the fundamental programming tools for data professionals: Python, SQL, the Terminal and Git.",SCHOOL OF DATA SCIENCE,Beginner,3 Months,1011 Reviews,"Python, Numpy & Pandas, SQL, Git & GitHub",None
https://www.udacity.com/course/programming-for-data-science-nanodegree-with-R--nd118,Programming for Data Science with R,"Prepare for a data science career by learning the fundamental data programming tools: R, SQL, command line, and git.",SCHOOL OF DATA SCIENCE,Beginner,3 Months,68 Reviews,"R, SQL, Git",None
https://www.udacity.com/course/learn-sql--nd072,SQL,"Master SQL, the core language for Big Data analysis, and enable insight-driven decision-making and strategy for your business.",SCHOOL OF DATA SCIENCE,Beginner,2 Months,216 Reviews,"SQL, PostgreSQL, JOINs, Subqueries, Window Functions, Partitions, Data Cleaning, DDL, DML, Relational and Non-Relational Databases",Basic understanding of data types
https://www.udacity.com/course/sql-for-data-analysis--ud198,SQL for Data Analysis,Learn to use Structured Query Language (SQL) to extract and analyze data stored in databases,SCHOOL OF DATA SCIENCE,Beginner,4 Weeks,88 Reviews,None,None
https://www.udacity.com/course/agile-software-development-nanodegree--nd144,Agile Software Development,The Agile Software Development Nanodegree program equips you with the skills you need to guide the delivery of high value products with top notch software development teams.,SCHOOL OF PRODUCT MANAGEMENT,Beginner,3 Months,76 Reviews,"Agile, Scrum, Kanban, XP, Minimum Viable Product",No Experience Required
https://www.udacity.com/course/ai-product-manager-nanodegree--nd088,AI Product Manager,Learn to develop AI products that deliver business value. Build skills that help you compete in the new AI-powered world.,SCHOOL OF PRODUCT MANAGEMENT,Beginner,2 Months,497 Reviews,"AI Products, Training ML Models, Annotating Datasets, Prototyping a Product",No Experience Required
https://www.udacity.com/course/product-manager-nanodegree--nd036,Product Manager,"Envision and execute the development of industry-defining products, and learn how to successfully bring them to market.",SCHOOL OF PRODUCT MANAGEMENT,Beginner,4 Months,615 Reviews,"Product Strategy, Product Design, Product Development, Design Sprint, Product Launch",No Experience Required
https://www.udacity.com/course/product-manager-interview-preparation--ud034,Product Manager Interview Preparation,"Ace your product management interview by understanding how to answer key strategic, technical, and practical product questions.",SCHOOL OF PRODUCT MANAGEMENT,Beginner,1 Week,142 Reviews,"Product Management, Interview Preparation, Career Advancement, Product Strategy, Technical Interview",None
https://www.udacity.com/course/ux-designer-nanodegree--nd578,UX Designer,Design impactful user experiences for products in today’s digital world.,SCHOOL OF PRODUCT MANAGEMENT,Beginner,3 Months,834 Reviews,"User Research, User Experience, Prototyping, Interactive Design, User Interface Design, Usability Testing",No Experience Required.
https://www.udacity.com/course/android-basics-nanodegree-by-google--nd803,Android Basics,No programming experience? No Problem! Start developing Android apps today.,SCHOOL OF PROGRAMMING & DEVELOPMENT,Beginner,4 Months,3131 Reviews,"Android Development, Java programming, Android Studio, XML layouts, Android Views",No Experience Required.
https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming,"Udacity's Intro to Programming is your first step towards careers in Web and App Development, Machine Learning, Data Science, AI, and more! This program is perfect for beginners.",SCHOOL OF PROGRAMMING & DEVELOPMENT,Beginner,4 Months,3400 Reviews,"Introduction to Programming, HTML, CSS, Python",No Coding Experience Needed
https://www.udacity.com/course/introduction-to-python--ud1110,Introduction to Python Programming,"In this course, you'll learn the fundamentals of the Python programming language, along with programming best practices. You’ll learn to represent and store data using Python data types and variables, and use conditionals and loops to control the flow of your programs. You’ll harness the power of complex data structures like lists, sets, dictionaries, and tuples to store collections of related data. You’ll define and document your own custom functions, write scripts, and handle errors. Lastly, you’ll learn to find and use modules in the Python Standard Library and other third-party libraries.",SCHOOL OF PROGRAMMING & DEVELOPMENT,Beginner,5 Weeks,2224 Reviews,None,None
https://www.udacity.com/course/introduction-to-virtual-reality--ud1012,Introduction to Virtual Reality,"If you are interested in learning more about virtual reality, this course will teach you the principles of VR technology and help you understand what you can build in VR.",SCHOOL OF PROGRAMMING & DEVELOPMENT,Beginner,2 Weeks,1422 Reviews,"VR development, Unity, Google VR SDK for Unity, General understanding of how VR works, Deploying to Android and iOS",None
https://www.udacity.com/course/ios-developer-nanodegree--nd003,iOS Developer,"Master the Swift programming language, and create a portfolio of iOS apps for iPhone and iPad to showcase your skills!",SCHOOL OF PROGRAMMING & DEVELOPMENT,Beginner,6 Months,855 Reviews,"Swift programming, Core Data, UIKit, iOS networking, app publishing, User interfaces, Local Persistence, APIs",No prior knowledge required
https://www.udacity.com/course/java-programming-nanodegree--nd079,Java Programming,"This Nanodegree program is intended to elevate your Java abilities and teach you the fundamental skills used by Java developers to design, code, test and deploy cutting-edge Java software. It is ideal for programming beginners with little or no Java experience who want to set themselves up for success as a professional Java developer and deploy functional Java-based applications of their own creation.",SCHOOL OF PROGRAMMING & DEVELOPMENT,Beginner,3 Months,142 Reviews,"Object-oriented programming, functional programming, I/O, reflection, concurrent programming, Java modules","Basic programming concepts like variables, loops and conditionals."
https://www.udacity.com/course/java-programming-basics--ud282,Java Programming Basics,"Take your first steps towards becoming a Java developer! Learn Java syntax and create conditional statements, loops, and functions.",SCHOOL OF PROGRAMMING & DEVELOPMENT,Beginner,6 Weeks,555 Reviews,"Java Programming, Java Syntax, Java Functions, Loops",None
https://www.udacity.com/course/linux-command-line-basics--ud595,Linux Command Line Basics,An introduction to the Linux command line interface.,SCHOOL OF PROGRAMMING & DEVELOPMENT,Beginner,1 Week,815 Reviews,"Command line interface (Linux server), Terminal and Shell (GNU Bash), Linux filesystem, Shell commands",None
https://www.udacity.com/course/localization-essentials--ud610,Localization Essentials,"Localization is about making a product feel tailored to users around the world. Specifically, it is the process of adapting a product to a language, culture and market.",SCHOOL OF PROGRAMMING & DEVELOPMENT,Beginner,2 Weeks,1524 Reviews,"Localization, Google Translator Toolkit, Localization at Google",None
https://www.udacity.com/course/microsoft-power-platform--ud091,Microsoft Power Platform,"Learn to build powerful and effective solutions with ease with Microsoft Power Platform. Created in partnership with the Microsoft Power Platform team, this course will introduce you to efficient low-code solutions for data analytics, app development, and artifical intelligence.",SCHOOL OF PROGRAMMING & DEVELOPMENT,Beginner,1 Month,255 Reviews,"Microsoft Power Platform, Power Apps, Power Automate, Azure AI Builder",None
https://www.udacity.com/course/networking-for-web-developers--ud256,Networking for Web Developers,You've used the Internet. Now find out more about how it works.,SCHOOL OF PROGRAMMING & DEVELOPMENT,Beginner,2 Weeks,849 Reviews,"HTTP, Domain Name System, Ping, TCP/IP stack, IP addressing",None
https://www.udacity.com/course/rpa-developer-nanodegree--nd340,RPA Developer with UiPath,Build the operational processes that enable the businesses of the future.,SCHOOL OF PROGRAMMING & DEVELOPMENT,Beginner,4 Months,1855 Reviews,"Process Automation, Business Operations, UiPath Studio, UiPath Orchestrator",Basic familiarity with Microsoft applications and data manipulation
https://www.udacity.com/course/ai-for-trading--nd880,Artificial Intelligence for Trading,"Complete real-world projects designed by industry experts, covering topics from asset management to trading signal generation. Master AI algorithms for trading, and build your career-ready portfolio.",SCHOOL OF ARTIFICIAL INTELLIGENCE,Intermediate,6 Months,702 Reviews,"Momentum Trading Strategy, Smart Beta, Alpha Factors, Natural Language Processing, Deep Learning, Neural Networks",Python & Mathematics
https://www.udacity.com/course/deep-learning-nanodegree--nd101,Deep Learning,Deep learning is driving advances in artificial intelligence that are changing our world. Enroll now to build and apply your own deep neural networks to produce amazing solutions to important challenges.,SCHOOL OF ARTIFICIAL INTELLIGENCE,Intermediate,4 Months,3130 Reviews,"Deep Learning, Neural Networks, Jupyter Notebooks, CNNs, GANs",Basic Python
https://www.udacity.com/course/intro-to-machine-learning-nanodegree--nd229,Intro to Machine Learning with PyTorch,"Build a solid foundation in Supervised, Unsupervised, and Deep Learning. Then, use these skills to test and deploy machine learning models in a production environment.",SCHOOL OF ARTIFICIAL INTELLIGENCE,Intermediate,3 Months,389 Reviews,"Introduction to Machine Learning, Supervised Learning, Deep Learning, Unsupervised Learning",Intermediate Python
https://www.udacity.com/course/intro-to-machine-learning-with-tensorflow-nanodegree--nd230,Intro to Machine Learning with TensorFlow,"Build a solid foundation in Supervised, Unsupervised, and Deep Learning. Then, use these skills to test and deploy machine learning models in a production environment.",SCHOOL OF ARTIFICIAL INTELLIGENCE,Intermediate,3 Months,314 Reviews,"TensorFlow, Deep Learning, scikit-learn, Supervised Learning, Unsupervised Learning",Intermediate Python
https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t,Machine Learning Engineer,"Become a machine learning engineer and apply predictive models to massive data sets in fields like education, finance, healthcare or robotics.",SCHOOL OF ARTIFICIAL INTELLIGENCE,Intermediate,3 Months,923 Reviews,"Machine Learning, Supervised Learning, Unsupervised Learning, Deep Learning",Intermediate Python & Machine Learning Algorithms
https://www.udacity.com/course/machine-learning-engineer-for-microsoft-azure-nanodegree--nd00333,Machine Learning Engineer for Microsoft Azure,"Strengthen your machine learning skills and build practical experience by training, validating, and evaluating models using Azure Machine Learning.",SCHOOL OF ARTIFICIAL INTELLIGENCE,Intermediate,3 Months,179 Reviews,"Azure Machine Learning, Azure Machine Learning SDK, Automation with Pipelines, Automated ML, Machine Learning Operations","Prior experience with Python, Machine Learning, and Statistics"
https://www.udacity.com/course/c-plus-plus-nanodegree--nd213,C++,Get hands-on experience by building five real-world projects.,SCHOOL OF AUTONOMOUS SYSTEMS,Intermediate,4 Months,914 Reviews,"Data Structures & Algorithms, Memory Management, Concurrency, Object-oriented Programming, C++",Intermediate Programming
https://www.udacity.com/course/intro-to-self-driving-cars--nd113,Intro to Self-Driving Cars,This introductory program is the perfect way to start your journey.,SCHOOL OF AUTONOMOUS SYSTEMS,Intermediate,4 Months,730 Reviews,"Computer Vision, Machine Learning, Vehicle Motion, Control",Programming & Mathematics
https://www.udacity.com/course/ai-for-business-leaders--nd054,AI for Business Leaders,"Master the foundations of artificial intelligence so you can strategically implement machine learning technology in your organization, and leverage it for corporate growth.",SCHOOL OF BUSINESS,Intermediate,2 Months,67 Reviews,"Artificial Intelligence, Machine Learning, Business Strategy, Data Labeling, Data Modeling","Statistics, Probability, and Business Experience"
https://www.udacity.com/course/cloud-computing-for-business-leaders-nanodegree--nd046,Cloud Computing for Business Leaders,"This program will focus on the unique knowledge and skills that business leaders need to unlock the value of cloud technologies in their organizations, or enable a more cloud-native department that leverages cloud computing to drive growth and create operational efficiencies.",SCHOOL OF BUSINESS,Intermediate,2 Months,1429 Reviews,"Digital transformation, leadership, management, cloud governance model, novel cloud services, operational efficiencies, cloud center of excellence","Word Processors, Spreadsheets, Presentation Tools"
https://www.udacity.com/course/data-science-for-business-leaders--nd045,Data Science for Business Leaders,"Master the people, platforms, and processes required to leverage the power of Data Science in your business.",SCHOOL OF BUSINESS,Intermediate,2 Months,62 Reviews,"Business Strategy, Data Science, Data Architecture, Machine Learning, Human Capital","Statistics, Probability, and Business Experience"
https://www.udacity.com/course/cloud-developer-nanodegree--nd9990,Cloud Developer,"Cloud development is the foundation for the new world of software development. Enroll now to build and deploy production-ready full stack apps at scale on AWS, an essential skill for advancing your web development career.",SCHOOL OF CLOUD COMPUTING,Intermediate,4 Months,669 Reviews,"AWS, Microservices, Serverless Architecture, Kubernetes",Intermediate JavaScript
https://www.udacity.com/course/cloud-developer-using-microsoft-azure-nanodegree--nd081,Cloud Developer using Microsoft Azure,"The Cloud Developer using Microsoft Azure program prepares students with critical cloud computing skills in how to deploy, build, migrate, and monitor applications on Azure.",SCHOOL OF CLOUD COMPUTING,Intermediate,4 Months,169 Reviews,"Virtual Machines, App Services, Microservices, Serverless Functions, Cloud Migration","Intermediate programming experience, familiarity with SQL databases and Git"
https://www.udacity.com/course/cloud-dev-ops-nanodegree--nd9991,Cloud DevOps Engineer,"Companies are looking for talented DevOps engineers to remain competitive in this agile world. Enroll now to operationalize infrastructure at scale and deliver applications and services at high velocity, an essential skill for advancing your career.",SCHOOL OF CLOUD COMPUTING,Intermediate,4 Months,665 Reviews,"AWS, Configuration Management with Ansible, Continuous Integration / Continuous Deployment, Microservices with Kubernetes, CloudFormation",Intermediate JavaScript
https://www.udacity.com/course/cloud-devops-using-microsoft-azure-nanodegree--nd082,Cloud DevOps using Microsoft Azure,"Learn how to deploy, test, and monitor cloud applications on Azure, one of the most popular cloud services platforms used by businesses across the globe.",SCHOOL OF CLOUD COMPUTING,Intermediate,3 Months,70 Reviews,"Infrastructure as Code, Configuration Management, Agile Planning, Continuous Integration, Continuous Delivery, Test Automation, Monitoring","Intermediate Python, familiarity with Linux shell scripting and cloud concepts"
https://www.udacity.com/course/cloud-native-application-architecture-nanodegree--nd064,Cloud Native Application Architecture,"You’ll master the skills necessary to become a successful cloud native architect. Learn to run and manage scalable applications in a cloud native environment, using open source tools and projects like ArgoCD, gRPC, and Grafana.",SCHOOL OF CLOUD COMPUTING,Intermediate,4 Months,170 Reviews,"Microservice architecture, Kubernetes, Continuous Integration, Continuous Delivery, Message Passing, Observability, Microservices security","HTTP, Python, Git, Linux, Docker"
https://www.udacity.com/course/hybrid-cloud-engineer-nanodegree--nd321,Hybrid Cloud Engineer,"This Nanodegree program, built in collaboration with experts from Nutanix, a leader in the cutting edge field of hyperconverged infrastructure software, takes cloud technology and data-center professionals on an in-depth journey into the design, deployment, and management of infrastructure and applications together on the Hybrid Cloud. Master the concepts you need to transform how your IT teams manage applications and support the business.",SCHOOL OF CLOUD COMPUTING,Intermediate,3 Months,189 Reviews,"Hyper-converged infrastructure, Hybrid Cloud, Public Cloud, Private Cloud, HCI Clusters, Workload Management, On premise, Off premise",Experience working with command line and virtual machines
